Country,January,February,March,April,May,June,July,August,September
Mali,0,0,28,462,775,916,354,241,342
Malta,0,0,169,296,153,52,154,1059,1175
Marshall Islands,0,0,0,0,0,0,0,0,0
Mauritania,0,0,6,2,522,3833,1947,738,454
Mauritius,0,0,143,189,3,6,3,12,25
Mexico,0,4,1211,18009,71440,135425,198548,174923,143656
Moldova,0,0,353,3544,4354,8362,8120,12187,16122
Monaco,0,1,51,43,4,4,17,34,64
Mongolia,0,0,12,26,141,41,71,13,9
Montenegro,0,0,109,213,2,224,2525,1762,5937
Morocco,0,0,617,3806,3384,4726,11789,38268,61063
Mozambique,0,0,8,68,178,635,975,2052,4812
Namibia,0,0,11,5,8,181,1924,5421,3715
Nepal,1,0,5,52,1515,11992,6207,19689,38357
Netherlands,0,6,12661,26845,7133,3838,4107,18642,52756
New Zealand,0,1,646,832,25,24,34,190,96
Nicaragua,0,0,5,9,745,1760,1153,822,676
Niger,0,0,27,692,239,117,59,42,21
Nigeria,0,1,134,1797,8230,15532,17457,10857,4840
North Macedonia,0,1,328,1136,761,4108,4420,3587,3636
Norway,0,15,4626,3097,702,439,361,1542,3245
Oman,0,6,186,2156,9089,28633,39089,6563,12863
Pakistan,0,4,2114,15996,54346,141010,64835,17544,16957
Panama,0,0,1181,5351,6931,20087,31706,27726,19613
Papua New Guinea,0,0,1,7,0,3,61,387,75
Paraguay,0,0,65,201,720,1235,3117,12324,23096
Peru,0,0,1065,35911,127500,120737,122279,239674,164602
Philippines,1,2,2082,6404,9598,19428,55840,127465,90875
Poland,0,0,2311,10566,10909,10607,11295,21684,24142
Portugal,0,0,7443,17602,7455,9641,8931,6940,17530
Qatar,0,1,780,12628,43501,39178,14607,8083,6982
Romania,0,3,2242,9995,7017,7713,23916,36654,40032
Russia,2,0,2337,104161,299345,241086,191532,153941,178397
Rwanda,0,0,75,168,127,655,997,2041,777
Saint Kitts and Nevis,0,0,8,7,0,0,2,0,2
Saint Lucia,0,0,13,4,1,1,6,1,1
Saint Vincent and the Grenadines,0,0,1,15,10,3,25,6,4
San Marino,0,1,235,333,102,27,1,16,17
Sao Tome and Principe,0,0,0,14,469,231,157,25,15
Saudi Arabia,0,0,1563,21190,62508,105562,85082,39867,18833
Senegal,0,0,175,758,2712,3148,3439,3379,1371
Serbia,0,0,900,8109,2403,3152,10988,5854,2145
Seychelles,0,0,10,1,0,70,33,22,8
Sierra Leone,0,0,1,123,737,601,361,199,209
Singapore,13,89,837,15243,18715,9023,8298,4607,953
Slovakia,0,0,363,1033,125,146,625,1625,6224
Slovenia,0,0,802,627,44,127,556,727,2807
Solomon Islands,0,0,0,0,0,0,0,0,0
Somalia,0,0,5,596,1375,948,288,98,278
South Africa,0,0,1353,4294,27036,118526,341974,133858,47298
South Sudan,0,0,0,35,959,1013,315,205,177
Spain,0,45,95878,117512,26044,9792,39251,174336,306330
Sri Lanka,1,0,143,520,970,414,768,234,331
Sudan,0,0,7,435,4584,4231,2387,1545,451
Suriname,0,0,9,1,13,492,1135,2384,843
