date,Chicago O'Hare International Airport, Hartsfield Jackson Atlanta International Airport,	Los Angeles International Airport,	McCarran International Airport,	Dallas Fort Worth International Airport,	Phoenix Sky Harbor International Airport,	London Heathrow Airport	San Francisco International Airport,	Newark Liberty International Airport,	General Edward Lawrence Logan International Airport
01-01-2020,	52887,	48738,	39205	,35657,	35031	,31111,	30557	29074	,29049	,27457
02-01-2020,	53366,	47286	,39099,	33759,	35441,	30972,	30173	29013,	28105	,27045
03-01-2020,	50476	,42443,	35819,	25244	,32900,	29872	,22586	25238	,24366,	24520
04-01-2020	,18927,	14479,	12394,	8034,	15129	,12712,	4224	6741,	3819	,6868
05-01-2020,	17980	,13258	,11693	,9270,	17473,	11276	,5206	7379	,3868,	6453
06-01-2020,	18858	,18044	,14363	,14974,	20115	,14545,	5763	9744,	6369,	9095
07-01-2020,	40424,	39034,	24803	,23193,	40424	,22405,	11611	15370	,14728	,15609
08-01-2020,	42375	,46658	,26722,	24424,	41582,	23189,	14989	16623,	16054,	15474
09-01-2020,	32756,	32732,	21049,	19282,	26456,	18996,	11780	13495,	12666,	12270
